ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	SEROTYPE	eBG
278	99	94	8	99	99	9	12	Tripoli	
279	62	95	54	96	100	9	100		
280	100	92	84	97	98	104	98	Schleissheim	76
281	41	86	86	100	5	106	48	Legon	
282	84	96	79	101	76	9	22	Jericho	
283	101	97	25	86	101	19	101	Bury	
284	22	11	48	13	102	107	4	Gueuletapee	
285	13	11	25	102	12	71	4	Minnesota	77
286	5	36	87	103	29	108	102	Cubana	78
287	13	63	16	104	40	23	4	Quinhon	160
288	102	15	8	105	8	18	103	Neukoelln	
289	103	98	88	106	103	109	22	Binningen	
290	73	35	68	76	63	75	65	Senftenberg	68
291	4	99	36	107	2	9	104	Wichita	
292	104	100	54	78	104	9	48		45
292	104	100	54	78	104	9	48	Albany	45
292	104	100	54	78	104	9	48	Oranienburg	45
293	105	2	3	12	5	19	17	Amager	
294	106	101	89	7	105	39	12	Mikawasima	175
295	17	18	22	17	5	110	19	Infantis	31
296	15	4	90	108	106	111	3	Buckeye	
297	107	4	36	109	107	45	105		
297	107	4	36	109	107	45	105	Lille	
298	75	14	40	110	25	2	22	Mara	
299	108	102	10	111	108	112	36	Tamberma	
300	109	35	8	96	109	113	106	Soerenga	
301	110	103	40	112	90	114	102	Alabama	
302	10	7	12	9	110	9	2	Typhimurium	1
303	6	7	10	10	39	10	14	Virchow	9
305	43	41	16	42	34	13	23	Montevideo	40
306	111	47	49	16	41	15	4	Bredeney	33
307	2	14	24	14	2	19	107	Paratyphi_B	5
308	22	104	25	113	12	83	4	Poona	
309	112	105	3	98	111	115	108		
309	112	105	3	98	111	115	108	Kiambu	
310	5	2	91	7	6	6	11	Enteritidis	4
311	113	13	15	14	11	14	16	Braenderup	24
312	114	3	8	114	76	9	109	Havana	
313	10	7	12	9	112	9	2	Typhimurium	1
314	115	75	8	115	2	116	110		164
314	115	75	8	115	2	116	110	Kentucky	164
315	15	70	93	78	113	9	68	Mbandaka	62
316	43	41	16	42	35	13	111	Montevideo	40
317	13	106	92	113	114	107	4	Poona	46
318	62	53	54	60	5	53	113	Kentucky	15
319	118	107	8	51	2	117	16	Tennessee	238
320	13	63	25	72	59	118	63	Oranienburg	44
321	119	10	17	42	12	13	4		36
321	119	10	17	42	12	13	4	Muenster	36
322	43	47	49	49	41	15	114	Schwarzengrund	33
323	120	7	12	9	5	9	2	Typhimurium	1
324	5	36	87	103	38	108	102	Cubana	78
325	2	14	24	14	26	19	107	Paratyphi_B	5
326	6	7	10	10	12	10	14	Virchow	9
327	2	5	6	7	36	7	12	Hadar	22
328	116	7	12	9	5	9	2	Typhimurium	1
329	82	38	26	12	115	78	70		72
329	82	38	26	12	115	78	70	Ohio	72
330	121	13	8	116	38	7	115	Hadar	
331	122	2	42	7	31	6	11	Gallinarum	4
333	10	67	10	17	15	9	66	Virchow	70
334	11	10	13	32	10	13	112	Brandenburg	12
334	11	10	13	32	10	13	112	Goettingen	12
335	117	73	41	79	71	65	72	Isangi	25
336	10	73	41	79	71	9	72	Isangi	25
337	2	73	41	79	71	65	8	Isangi	25
338	11	40	25	16	12	16	63	Dingiri	
339	17	7	35	9	5	9	14	Stanleyville	79
340	17	58	3	76	66	10	12	Hull	
341	50	14	18	78	64	6	63	Offa	
342	19	70	67	75	45	7	39	Camberene	
343	11	10	25	118	10	13	4		49
343	11	10	25	118	10	13	4	Chester	49
344	5	14	18	9	6	12	116	Saintpaul	14
345	16	2	45	43	36	20	42	Newport	2
346	2	2	15	14	36	20	12	Newport	7
347	16	43	45	43	36	20	42	Newport	2
348	2	57	15	14	15	39	12	Newport	7
349	2	2	15	43	36	20	12	Newport	7
350	16	2	95	117	36	39	117	Newport	3
351	16	2	45	62	36	39	42	Newport	2
352	16	43	45	43	15	39	42	Newport	2
353	10	7	21	43	15	12	12	Newport	3
354	16	43	45	43	71	39	42	Newport	2
355	10	7	21	14	15	7	12	Newport	3
356	48	108	96	119	116	119	118	Mississippi	80
357	111	109	8	120	117	45	4	Florida	81
358	5	110	35	122	2	19	22	Goldcoast	
359	6	7	10	10	2	10	14	Virchow	9
360	63	14	6	12	5	14	12	Newport	35
361	17	111	3	12	61	21	119	Infantis	
362	81	5	101	12	124	130	17	Bareilly	206
363	129	31	35	14	26	6	8	Choleraesuis	6
363	129	31	35	14	26	6	8	Choleraesuis_var_Kunzendorf	6
364	25	77	12	22	18	131	24	Schleissheim	
365	130	97	25	125	84	9	101	Weltevreden	205
366	5	2	3	7	125	6	11	Enteritidis	4
367	14	112	43	123	118	115	120	Cerro	37
368	111	5	6	7	5	58	12	Hadar	22
369	111	5	49	7	12	7	121	Give	
370	10	113	15	124	90	2	8	Vejle	
371	13	12	17	16	117	16	4	Itami	17
371	13	12	17	16	117	16	4	Javiana	17
372	46	44	46	46	119	18	34	Paratyphi_B	19
373	79	68	18	46	66	10	34	Abortusovis	71
375	16	2	45	43	5	39	42	Newport	2
376	10	7	12	9	5	121	2	Typhimurium	1
377	2	59	23	64	38	61	122	Bovismorbificans	34
377	2	59	23	64	38	61	122	Hindmarsh	34
378	101	114	25	125	120	122	22	Sanga	
379	13	63	25	62	114	123	23	Marseille	
380	17	115	35	9	5	9	14	Stanleyville	79
381	124	64	40	126	8	19	123	Flottbek	
382	124	8	98	127	76	9	58	Utrecht	
383	125	63	17	62	12	58	3	Charity	163
383	125	63	17	62	12	58	3	Lindern	163
383	125	63	17	62	12	58	3	Stellingen	163
384	10	13	46	126	76	124	15	Osnabrueck	
385	111	109	8	120	121	45	4	Midway	81
386	30	28	99	27	22	129	30		23
387	101	4	25	128	13	126	124	Hillingdon	
388	126	116	3	129	39	9	125	Suberu	
389	127	117	40	33	122	127	126	Abuja	
390	10	118	4	130	123	128	8	Pontypridd	
391	114	14	79	131	38	42	16	Gamaba	
392	128	119	100	27	22	129	127		210
393	131	41	102	132	113	132	128	Kentucky	
394	10	7	12	133	112	9	2	Typhimurium	1
395	132	30	103	134	126	133	129		47
396	132	30	103	134	126	134	129		47
397	133	120	104	135	24	135	130		
398	32	29	33	29	24	30	52		48
399	134	121	105	136	127	136	52		
400	135	30	106	137	24	137	32		
401	132	30	103	134	126	135	138		47
402	13	23	27	113	114	107	4	Poona	46
403	132	30	107	134	24	135	138		47
404	46	122	3	18	6	138	133	Paratyphi_B	155
405	2	15	21	138	130	139	12	Hartford	169
406	14	37	108	139	105	19	135	Richmond	
407	45	14	82	9	128	6	34	Kintambo	
408	2	2	9	7	134	19	86	Potsdam	73
409	138	41	109	94	39	132	3	Ajiobo	
